Gene,Protein.class,Disease_Related,Drug_Target,Enzyme,Kinase,Peptidase,GPCR,Transcription_Factor,Membrane_Protein
POMT2,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins",Y,Y,Y,"","","","",Y
VTA1,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
MLXIPL,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors",Y,"","","","","",Y,""
BAZ1B,"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
RANBP9,Predicted intracellular proteins,"","","","","","","",""
ETV7,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
SPRTN,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
EEF1AKNMT,"Disease related genes, Metabolic proteins, Predicted intracellular proteins",Y,"","","","","","",""
DYRK4,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,Y,"","","",""
ZNF207,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
UQCRC1,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"",Y,"","",""
STARD3NL,Predicted membrane proteins,"","","","","","","",Y
CD9,"Cancer-related genes, CD markers, Plasma proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
HHATL,Predicted membrane proteins,"","","","","","","",Y
NCAPD2,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Y,"","","","","","",""
IFFO1,Predicted intracellular proteins,"","","","","","","",""
GIPR,"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters","","","","","",Y,"",Y
PHF7,Predicted intracellular proteins,"","","","","","","",""
SEMA3G,Predicted secreted proteins,"","","","","","","",""
NISCH,"FDA approved drug targets, Predicted intracellular proteins","",Y,"","","","","",""
STAB1,"Predicted membrane proteins, Transporters","","","","","","","",Y
FUZ,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
SLC6A13,"Metabolic proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
IDS,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
PRSS3,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","","",Y,"",Y,"","",""
ZNF200,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
CD4,"CD markers, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters","",Y,"","","","","",Y
LRRC23,Predicted intracellular proteins,"","","","","","","",""
BTK,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Y,Y,Y,Y,"","","",""
HFE,"Disease related genes, Human disease related genes, Predicted membrane proteins",Y,"","","","","","",Y
SCMH1,Predicted intracellular proteins,"","","","","","","",""
FYN,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins","","",Y,Y,"","","",""
