Gene,Protein.class,Disease_Related,Drug_Target,Enzyme,Kinase,Peptidase,GPCR,Transcription_Factor,Membrane_Protein
STC2,"Predicted intracellular proteins, Predicted secreted proteins","","","","","","","",""
CPEB4,Predicted intracellular proteins,"","","","","","","",""
HRH2,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins","",Y,"","","",Y,"",Y
DBN1,"Disease related genes, Plasma proteins, Predicted intracellular proteins",Y,"","","","","","",""
ZNF346,Predicted intracellular proteins,"","","","","","","",""
UNC5A,Predicted membrane proteins,"","","","","","","",Y
EHHADH,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
CNTN3,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
SMC4,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
SELENOK,Predicted membrane proteins,"","","","","","","",Y
ACTR8,Predicted intracellular proteins,"","","","","","","",""
TBCCD1,Predicted intracellular proteins,"","","","","","","",""
TIMMDC1,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins",Y,"","","","","","",Y
CRBN,"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Transporters",Y,Y,"","","","","",""
KNG1,"Disease related genes, Plasma proteins, Predicted secreted proteins",Y,"","","","","","",""
HRG,"Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins",Y,"","","","","","",""
BCL6,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors",Y,"","","","","",Y,""
HGD,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
CLDN16,"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
ARL6,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
NPHP3,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
CD86,"CD markers, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins","",Y,"","","","","",Y
AMOTL2,Predicted intracellular proteins,"","","","","","","",""
NIT2,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins","","",Y,"","","","",""
FAM162A,Predicted membrane proteins,"","","","","","","",Y
OGG1,"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
KPNA1,"Predicted intracellular proteins, Transporters","","","","","","","",""
PCCB,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
UBE3A,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Y,Y,Y,"","","","",Y
ARMC8,Predicted intracellular proteins,"","","","","","","",""
CEP70,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
RBP2,"Metabolic proteins, Predicted intracellular proteins, Transporters","","","","","","","",""
RBP1,"Metabolic proteins, Predicted intracellular proteins","","","","","","","",""
SLC25A36,"Predicted intracellular proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
GRK7,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,Y,"","","",""
RNF7,Predicted intracellular proteins,"","","","","","","",""
TFDP2,"Cancer-related genes, Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
XRN1,Predicted intracellular proteins,"","","","","","","",""
KAT2B,"Cancer-related genes, Disease related genes, Enzymes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
BCHE,"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Y,Y,Y,"","","","",""
SERPINI2,Predicted secreted proteins,"","","","","","","",""
PDCD10,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
LRRC31,Predicted intracellular proteins,"","","","","","","",""
WNT5A,"Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins",Y,"","","","","","",""
PFKFB4,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
COL7A1,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins",Y,"","","","","","",""
FGF12,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
PRKAR2A,"Metabolic proteins, Plasma proteins, Predicted intracellular proteins","","","","","","","",""
HES1,"Plasma proteins, Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
USP4,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"",Y,"","",""
ACAP2,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
ECT2,Predicted intracellular proteins,"","","","","","","",""
GNAT1,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
GNAI2,"Human disease related genes, Predicted intracellular proteins","","","","","","","",""
TFG,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins",Y,"","","","","","",Y
USP9Y,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"",Y,"","",""
HYAL1,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins",Y,Y,Y,"","","","",""
TUSC2,"Cancer-related genes, Predicted intracellular proteins","","","","","","","",""
NPRL2,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
RPL24,"Plasma proteins, Predicted intracellular proteins, Ribosomal proteins","","","","","","","",""
CYB561D2,"Enzymes, Predicted membrane proteins","","",Y,"","","","",Y
C3orf14,Predicted intracellular proteins,"","","","","","","",""
FXR1,"Disease related genes, Plasma proteins, Predicted intracellular proteins",Y,"","","","","","",""
CBLB,"Cancer-related genes, Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
BBX,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
IFT57,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
GNB4,"Disease related genes, Human disease related genes, Predicted intracellular proteins, RAS pathway related proteins",Y,"","","","","","",""
HHLA2,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
IQCG,Predicted intracellular proteins,"","","","","","","",""
GBE1,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
MORC1,Predicted intracellular proteins,"","","","","","","",""
UMPS,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
NCBP2,"Predicted intracellular proteins, Transporters","","","","","","","",""
SNX4,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
C3orf52,Predicted membrane proteins,"","","","","","","",Y
FRMD4B,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
SLC41A3,"Predicted membrane proteins, Transporters","","","","","","","",Y
ROPN1B,Predicted intracellular proteins,"","","","","","","",""
PLXNA1,Predicted membrane proteins,"","","","","","","",Y
ATP6V1A,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Transporters",Y,"",Y,"","","","",""
ABTB1,Predicted intracellular proteins,"","","","","","","",""
PODXL2,Predicted membrane proteins,"","","","","","","",Y
UPK1B,"Predicted membrane proteins, Transporters","","","","","","","",Y
CSPG5,Predicted membrane proteins,"","","","","","","",Y
KLHL18,Predicted intracellular proteins,"","","","","","","",""
SCAP,Predicted membrane proteins,"","","","","","","",Y
EFCC1,Predicted intracellular proteins,"","","","","","","",""
CFAP92,Predicted intracellular proteins,"","","","","","","",""
NEK11,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,Y,"","","",""
MRPL3,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Ribosomal proteins",Y,"","","","","","",""
PLSCR4,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
HEMK1,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
CISH,Predicted intracellular proteins,"","","","","","","",""
MAPKAPK3,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Y,Y,Y,Y,"","","",Y
ACVR2B,"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins",Y,Y,Y,Y,"","","",Y
WDR48,Predicted intracellular proteins,"","","","","","","",""
COMMD2,Predicted intracellular proteins,"","","","","","","",""
GORASP1,Predicted intracellular proteins,"","","","","","","",""
PEX5L,Predicted intracellular proteins,"","","","","","","",""
RRP9,Predicted intracellular proteins,"","","","","","","",""
ABCC5,"Cancer-related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
AADAC,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
ABHD14B,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
EIF1B,Predicted intracellular proteins,"","","","","","","",""
ABHD14A-ACY1,"Metabolic proteins, Predicted intracellular proteins","","","","","","","",""
ARHGEF26,Predicted intracellular proteins,"","","","","","","",""
KLHL24,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
PLCH1,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
VIPR1,"G-protein coupled receptors, Predicted membrane proteins, Transporters","","","","","",Y,"",Y
DNAH1,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
SSR3,Predicted membrane proteins,"","","","","","","",Y
ZBTB47,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
TNNC1,"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Y,Y,"","","","","",""
NKTR,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
CLCN2,"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
FOXP1,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors",Y,"","","","","",Y,""
EIF4G1,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Y,"","","","","","",""
SPCS1,"Metabolic proteins, Predicted membrane proteins","","","","","","","",Y
NEK4,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins","","",Y,Y,"","","",""
SLC4A3,"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
INO80D,Predicted intracellular proteins,"","","","","","","",""
EEF1B2,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
ADAM23,"Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins","","","","","","","",Y
DGUOK,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
MOB1A,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
KANSL3,"Metabolic proteins, Predicted intracellular proteins","","","","","","","",""
LMAN2L,"Disease related genes, Human disease related genes, Predicted membrane proteins",Y,"","","","","","",Y
RTKN,Predicted intracellular proteins,"","","","","","","",""
